bert.encoder.layer.0.attention.self.query.mask_scores,0.002,11
bert.encoder.layer.0.attention.self.key.mask_scores,0.004,22
bert.encoder.layer.0.attention.self.value.mask_scores,0.066,390
bert.encoder.layer.0.attention.output.dense.mask_scores,0.052,304
bert.encoder.layer.0.intermediate.dense.mask_scores,5.194,122552
bert.encoder.layer.0.output.dense.mask_scores,2.788,65778
bert.encoder.layer.1.attention.self.query.mask_scores,0.037,216
bert.encoder.layer.1.attention.self.key.mask_scores,0.045,264
bert.encoder.layer.1.attention.self.value.mask_scores,0.066,387
bert.encoder.layer.1.attention.output.dense.mask_scores,0.09,533
bert.encoder.layer.1.intermediate.dense.mask_scores,5.734,135279
bert.encoder.layer.1.output.dense.mask_scores,2.645,62397
bert.encoder.layer.2.attention.self.query.mask_scores,0.0,0
bert.encoder.layer.2.attention.self.key.mask_scores,0.0,0
bert.encoder.layer.2.attention.self.value.mask_scores,0.004,22
bert.encoder.layer.2.attention.output.dense.mask_scores,0.022,128
bert.encoder.layer.2.intermediate.dense.mask_scores,4.718,111321
bert.encoder.layer.2.output.dense.mask_scores,2.001,47211
bert.encoder.layer.3.attention.self.query.mask_scores,0.0,0
bert.encoder.layer.3.attention.self.key.mask_scores,0.0,0
bert.encoder.layer.3.attention.self.value.mask_scores,0.001,6
bert.encoder.layer.3.attention.output.dense.mask_scores,0.011,63
bert.encoder.layer.3.intermediate.dense.mask_scores,3.792,89473
bert.encoder.layer.3.output.dense.mask_scores,1.517,35796
bert.encoder.layer.4.attention.self.query.mask_scores,0.0,0
bert.encoder.layer.4.attention.self.key.mask_scores,0.0,0
bert.encoder.layer.4.attention.self.value.mask_scores,0.003,18
bert.encoder.layer.4.attention.output.dense.mask_scores,0.002,10
bert.encoder.layer.4.intermediate.dense.mask_scores,2.357,55617
bert.encoder.layer.4.output.dense.mask_scores,1.076,25389
bert.encoder.layer.5.attention.self.query.mask_scores,0.087,512
bert.encoder.layer.5.attention.self.key.mask_scores,0.143,844
bert.encoder.layer.5.attention.self.value.mask_scores,0.087,511
bert.encoder.layer.5.attention.output.dense.mask_scores,0.057,334
bert.encoder.layer.5.intermediate.dense.mask_scores,1.407,33191
bert.encoder.layer.5.output.dense.mask_scores,0.686,16181
bert.encoder.layer.6.attention.self.query.mask_scores,0.013,75
bert.encoder.layer.6.attention.self.key.mask_scores,0.021,121
bert.encoder.layer.6.attention.self.value.mask_scores,0.036,210
bert.encoder.layer.6.attention.output.dense.mask_scores,0.021,125
bert.encoder.layer.6.intermediate.dense.mask_scores,1.102,26005
bert.encoder.layer.6.output.dense.mask_scores,0.656,15484
bert.encoder.layer.7.attention.self.query.mask_scores,0.181,1066
bert.encoder.layer.7.attention.self.key.mask_scores,0.215,1267
bert.encoder.layer.7.attention.self.value.mask_scores,0.128,756
bert.encoder.layer.7.attention.output.dense.mask_scores,0.102,599
bert.encoder.layer.7.intermediate.dense.mask_scores,0.943,22252
bert.encoder.layer.7.output.dense.mask_scores,0.373,8789
bert.encoder.layer.8.attention.self.query.mask_scores,0.036,213
bert.encoder.layer.8.attention.self.key.mask_scores,0.193,1136
bert.encoder.layer.8.attention.self.value.mask_scores,0.16,946
bert.encoder.layer.8.attention.output.dense.mask_scores,0.065,382
bert.encoder.layer.8.intermediate.dense.mask_scores,0.303,7140
bert.encoder.layer.8.output.dense.mask_scores,0.122,2874
bert.encoder.layer.9.attention.self.query.mask_scores,0.008,48
bert.encoder.layer.9.attention.self.key.mask_scores,0.078,461
bert.encoder.layer.9.attention.self.value.mask_scores,0.111,652
bert.encoder.layer.9.attention.output.dense.mask_scores,0.048,285
bert.encoder.layer.9.intermediate.dense.mask_scores,0.086,2038
bert.encoder.layer.9.output.dense.mask_scores,0.051,1197
bert.encoder.layer.10.attention.self.query.mask_scores,0.003,20
bert.encoder.layer.10.attention.self.key.mask_scores,0.031,181
bert.encoder.layer.10.attention.self.value.mask_scores,0.053,313
bert.encoder.layer.10.attention.output.dense.mask_scores,0.033,197
bert.encoder.layer.10.intermediate.dense.mask_scores,0.026,608
bert.encoder.layer.10.output.dense.mask_scores,0.019,441
bert.encoder.layer.11.attention.self.query.mask_scores,0.0,2
bert.encoder.layer.11.attention.self.key.mask_scores,0.0,2
bert.encoder.layer.11.attention.self.value.mask_scores,0.033,196
bert.encoder.layer.11.attention.output.dense.mask_scores,0.023,136
bert.encoder.layer.11.intermediate.dense.mask_scores,0.023,543
bert.encoder.layer.11.output.dense.mask_scores,0.018,426
